omega_keV,dPhi_dw_ma0keV_cm2_s_keV,dPhi_dw_ma10keV_cm2_s_keV,dPhi_dw_ma130keV_cm2_s_keV
10.6047,3.175498e+09,1.056987e+09,0.000000e+00
10.6447,3.100681e+09,1.062683e+09,0.000000e+00
10.6847,3.027522e+09,1.066328e+09,0.000000e+00
10.7246,2.955985e+09,1.068136e+09,0.000000e+00
10.7646,2.886040e+09,1.068294e+09,0.000000e+00
10.8046,2.817653e+09,1.066966e+09,0.000000e+00
10.8446,2.750793e+09,1.064300e+09,0.000000e+00
10.8846,2.685429e+09,1.060428e+09,0.000000e+00
10.9245,2.621531e+09,1.055467e+09,0.000000e+00
10.9645,2.559068e+09,1.049523e+09,0.000000e+00
11.0045,2.498011e+09,1.042694e+09,0.000000e+00
11.0445,2.438330e+09,1.035066e+09,0.000000e+00
11.0845,2.379999e+09,1.026719e+09,0.000000e+00
11.1244,2.322987e+09,1.017726e+09,0.000000e+00
11.1644,2.267269e+09,1.008153e+09,0.000000e+00
11.2044,2.212817e+09,9.980598e+08,0.000000e+00
11.2444,2.159604e+09,9.875031e+08,0.000000e+00
11.2844,2.107605e+09,9.765336e+08,0.000000e+00
11.3243,2.056794e+09,9.651984e+08,0.000000e+00
11.3643,2.007146e+09,9.535406e+08,0.000000e+00
11.4043,1.958636e+09,9.416002e+08,0.000000e+00
11.4443,1.911240e+09,9.294139e+08,0.000000e+00
11.4843,1.864934e+09,9.170156e+08,0.000000e+00
11.5242,1.819696e+09,9.044366e+08,0.000000e+00
11.5642,1.775502e+09,8.917058e+08,0.000000e+00
11.6042,1.732330e+09,8.788500e+08,0.000000e+00
11.6442,1.690158e+09,8.658937e+08,0.000000e+00
11.6842,1.648965e+09,8.528599e+08,0.000000e+00
11.7241,1.608728e+09,8.397695e+08,0.000000e+00
11.7641,1.569429e+09,8.266421e+08,0.000000e+00
11.8041,1.531045e+09,8.134956e+08,0.000000e+00
11.8441,1.493558e+09,8.003467e+08,0.000000e+00
11.8841,1.456947e+09,7.872106e+08,0.000000e+00
11.9240,1.421194e+09,7.741015e+08,0.000000e+00
